name,inner_description,outer_short_description,website,logo_url
Vok Bikes,"  Vok is an e-bike on four wheels, designed for delivery services. Riding a vok is the most efficient way to move around in busy city areas.
Website","City bike, made for couriers.",https://www.vokbikes.com/,"https://static.wixstatic.com/media/1ad3d7_121f60ebbbec4d6e87a903febbaa294b~mv2.png/v1/fill/w_138,h_56,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Vok%20Bikes_logo.png"
Woola,"      Packaging made of leftover sheep wool to reduce plastic waste of online shopping.
Website",Uses waste wool to replace bubble wrap.,https://www.woola.io/,"https://static.wixstatic.com/media/1ad3d7_cde98a5ef9464dfa967e7713d8e2adb3~mv2.png/v1/fill/w_120,h_46,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/1ad3d7_cde98a5ef9464dfa967e7713d8e2adb3~mv2.png"
Inion Software,"   Develops solutions for PV plant installers, maintenance companies and owners to monitor and control PV plants.
Website",The Inion system - PV plant monitoring.,https://inionsoftware.com/,"https://static.wixstatic.com/media/daf62c_4474c040565e4091b1d6f0fdb4b44e9d~mv2.png/v1/fill/w_94,h_28,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_4474c040565e4091b1d6f0fdb4b44e9d~mv2.png"
The Good Goal,"   B2B SaaS that improves sustainable habits and measures the environmental impact of people and organisations through gamification.
Website",Measures and promotes the participation of people and organizations to improve their environmental impact.,https://www.thegoodgoalapp.com/?lang=en,"https://static.wixstatic.com/media/daf62c_ba3327a47aaf4ae9b4b9490aa3483958~mv2.png/v1/fill/w_72,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_ba3327a47aaf4ae9b4b9490aa3483958~mv2.png"
Renewcast,"   We provide superior performance in renewable power short-term and day-ahead forecasting through our ML empowered SaaS platform.
Website",AI-based renewable power generation forecasting SaaS service.,http://renewcast.com/,"https://static.wixstatic.com/media/daf62c_09f5ea7f000d49cda71cc6f0a87b1140~mv2.png/v1/fill/w_105,h_30,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_09f5ea7f000d49cda71cc6f0a87b1140~mv2.png"
Hortee,"   A digital market platform for accessible and efficient fresh food markets.
Locally available, globally connected.
Website","The SaaS exchange platform to buy and sell fresh food within local communities, globally connected.",https://hortee.co/,"https://static.wixstatic.com/media/daf62c_e388337d80b2449eb1661e282e94bd5b~mv2.png/v1/fill/w_39,h_62,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_e388337d80b2449eb1661e282e94bd5b~mv2.png"
Ari Care,"   Powder + tap water
production technology that changes the way everyday products, such as liquid soaps, shower gels and cleaning products, are produced.
Website","Powder + tap water
production technology that changes the way everyday products.",https://ari.shop/,"https://static.wixstatic.com/media/daf62c_cd53c16be9af48f9bfb0af1ff71ab4c8~mv2.png/v1/fill/w_94,h_50,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_cd53c16be9af48f9bfb0af1ff71ab4c8~mv2.png"
S. Lab,"   Creates sustainable solutions for the packaging industry using only 2 plant-based components: hemp and mycelium. Natural replacement of polystyrene.
Website",Creates sustainable solutions for the packaging industry.,https://ilab-s.com/,"https://static.wixstatic.com/media/daf62c_05bd84070f2242458052c4ad6e7d5e2f~mv2.png/v1/fill/w_118,h_77,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_05bd84070f2242458052c4ad6e7d5e2f~mv2.png"
XVentum,"   It is the portal for Renewable Energy Managers. XVentum enables Project Developers, OEM, green energy investors and research institutes to plan, compare and bid with the optimal wind farm layout.  
Website",Digital decision-making system that allows tracking and optimising renewable energy assets.,https://xventum.com/,"https://static.wixstatic.com/media/daf62c_47b2a03b931940d7855b884759576c70~mv2.png/v1/fill/w_72,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_47b2a03b931940d7855b884759576c70~mv2.png"
Einsted.bio,"   A modular system based on ultrafast pulsed plasma (UFPP) technology that captures, sequesters and converts gases in the atmosphere into pure oxygen, carbon and green hydrogen.
Website",A modular system based on ultrafast pulsed plasma (UFPP) technology.,https://www.linkedin.com/company/einsted/,"https://static.wixstatic.com/media/daf62c_b13c12c914b14417b3485634c8227833~mv2.png/v1/fill/w_71,h_62,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_b13c12c914b14417b3485634c8227833~mv2.png"
The Rewear Company,"   Builds a circular rental marketplace for kidswear that will reduce the environmental impact of clothes by up to 80%.
Website",Circular & managed monthly rental service for new & preloved kidswear.,https://rewear.company/,"https://static.wixstatic.com/media/daf62c_9f51fd28c7754c83b0b83ca730dd1498~mv2.png/v1/fill/w_86,h_86,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_9f51fd28c7754c83b0b83ca730dd1498~mv2.png"
SpaceCrop,"   SpaceCrop forecasts soil water requirements in farming and sends an irrigation schedule to farmers.
Website",SpaceCrop uses satellite data and machine learning to predict soil water needs.,https://spacecroptech.com/,"https://static.wixstatic.com/media/daf62c_01ecc9fde47c4f62a3ac836025c3261a~mv2.png/v1/fill/w_118,h_14,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_01ecc9fde47c4f62a3ac836025c3261a~mv2.png"
Sol Navitas,"   Sol Navitas provides natural fresh air into living quarters with the help of solar energy. 
Website","Warm and fresh air
with solar energy. ",http://www.solnavitas.eu/,"https://static.wixstatic.com/media/daf62c_bebb6832e19e487fae096d5346678bdb~mv2.png/v1/fill/w_118,h_34,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_bebb6832e19e487fae096d5346678bdb~mv2.png"
Enzymity,"   Enzymity builds a bio‑platform for true plastics circularity. 
Website",Enzymity builds a bio‑platform for true plastics circularity.,https://enzymity.com/,"https://static.wixstatic.com/media/daf62c_5ef9b9be872248bc90afdf6768dcb65d~mv2.png/v1/fill/w_118,h_24,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_5ef9b9be872248bc90afdf6768dcb65d~mv2.png"
Smobya,"  Developing a novel material - advanced vegan leather to reduce the fashion industry’s carbon footprint.
Website",Produces advanced vegan leather.,https://smobya.com/,"https://static.wixstatic.com/media/daf62c_989a01d4318943c78243c880ba53d9c8~mv2.png/v1/fill/w_121,h_85,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_989a01d4318943c78243c880ba53d9c8~mv2.png"
Calidity,"Calidity connects to your automation system,
giving you new superpowers.
Website","The upgrade
commercial buildings
deserve.",https://www.calidityapp.com/,"https://static.wixstatic.com/media/1ad3d7_d0792eaa90e7467c9d3bf52937dcb88e~mv2.png/v1/fill/w_101,h_101,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/1ad3d7_d0792eaa90e7467c9d3bf52937dcb88e~mv2.png"
Roofit.solar,"Our easy-to-install roof is as beautiful as a standard non-solar metal roof and more durable than standard solar panels. 
  Website","Offers an innovative 2-in-1 solution, combining steel roof and integrated photovoltaic solar cells.",https://roofit.solar/,"https://static.wixstatic.com/media/1ad3d7_37827f31131f413ea947f7ac3d0b9532~mv2.png/v1/fill/w_134,h_64,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/1ad3d7_37827f31131f413ea947f7ac3d0b9532~mv2.png"
Single.Earth,"For every tonne of CO₂ your business emits, you buy an offset token from the Local Offset market - and make your business climate neutral.
Website",Offers carbon offset and biodiversity preservation with a real impact.,https://www.single.earth/et-EE/,"https://static.wixstatic.com/media/1ad3d7_a75782a045ca4ba2979a02a5b5e5e724~mv2.png/v1/fill/w_89,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Single_Earth_logo_2.png"
WildAr,"We combine environmental information, like species habitat requirements and movement behaviours, and map data of topography.  A web map user simply outlines the facility, and WildAr does the rest.
Website",The wildar software generates instant enviromental reports.,,"https://static.wixstatic.com/media/6031be_3f2ff32a26ef4d5ab9b5a20279ea640b~mv2.png/v1/crop/x_0,y_18,w_227,h_55/fill/w_145,h_35,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/WildAr_logo_PNG.png"
ReverseResources,"We give textile recyclers access to high-quality waste with the least cost and full transparency, straight from the source. We take care that waste from garment factories gets recycled in the best possible way.
Website",Tracking and trading textile waste to help it become the best new recycled material.,https://reverseresources.net/,"https://static.wixstatic.com/media/1ad3d7_4834eacb08b2408b95b84da1028fe6e2~mv2.png/v1/fill/w_74,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Reverse_Resources_vert_C.png"
BugBox Ltd.,"  Our technology will produce zero waste and following circle-economy principles - using green residues from local green product industries as a source and will be powered by renewable energy.
Website",Edible Insects Mass Rearing Technology and Software,https://www.bugbox.ee/,"https://static.wixstatic.com/media/1ad3d7_081bd7d3c389412da6b823a8d1d1dbc5~mv2.jpg/v1/fill/w_64,h_88,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/BugBox%20logo.jpg"
e-pavement,"A smart pavement is a multi-purpose pavement that generates electricity from sunlight, into which it is possible to integrate various electronic components: processors, sensors, communication solutions and LED elements. 
Website",Commercialization of smart solar road bricks.,http://e-pavement.eu/en,"https://static.wixstatic.com/media/1ad3d7_cb491370371b4729bc98dda96be500fc~mv2.jpeg/v1/fill/w_144,h_45,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/1ad3d7_cb491370371b4729bc98dda96be500fc~mv2.jpeg"
Trashify,"Through our detection system, we aim to provide a smart, automated and easily customisable solution, while also leveraging data to provide real-time analytics.
Website",A data-driven brain for intelligent waste management.,http://www.trashify.tech/,"https://static.wixstatic.com/media/daf62c_6adb427571eb4d099a1c793825f2a05a~mv2.png/v1/crop/x_0,y_0,w_455,h_165/fill/w_145,h_52,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Trashify.png"
AgriEye,"We utilize machine learning to process data from satellites to make agriculture sustainable and profitable at the same time thanks to
meaningful insights and CO2 sequestration monetization.
Website","AI-based remote
sensing CSA platform
and CO2 offset market for farmers and landowners.",https://agrieye.tech/,"https://static.wixstatic.com/media/daf62c_109c927fd6a9469581d78a79d473f48b~mv2.png/v1/fill/w_129,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Agrieye.png"
Fauna Smart Technologies,"    We are helping farmers transition to healthier and more efficient farming practices.
Website",Plant Immunity Tracker,https://faunasmarttechnologies.com/,"https://static.wixstatic.com/media/daf62c_223dbd6596494cc982dd195474ab3966~mv2.png/v1/crop/x_15,y_0,w_341,h_320/fill/w_94,h_88,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Fauna.png"
Got Foods,"Created out of pure proteins found in split peas, these alternatives are tasting like actual dairy. Simply without lactose, gluten and any other allergen side effects.
  Website",Dairy alternatives from peas.,https://got-foods.com/,"https://static.wixstatic.com/media/daf62c_3f1f22f8d1f5413f991e6728ea3a95f9~mv2.png/v1/fill/w_106,h_62,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_3f1f22f8d1f5413f991e6728ea3a95f9~mv2.png"
äio tech,"We use byproducts to ""brew"" fats & oils mostly. Our microbe can be used to substitute the non-sustainable palm and fish oil. 
  Website",Äio tech designs microbes for the sustainable production of healthy food and feed ingredients.,https://www.linkedin.com/company/%C3%A4io-technology/,"https://static.wixstatic.com/media/daf62c_729dded184c74cd9a2c750fe1c4ce7e2~mv2.png/v1/fill/w_74,h_74,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo_red_white_PNG.png"
Koffeco,"Our innovative recycling solution helps us preserve a mission to reduce greenhouse emissions and the carbon footprint of coffee waste in Europe, applying a know-how recycling approach.
Website",Koffeco creates sustainable and eco-friendly products from spent coffee grounds. ,https://www.koffe.co/,"https://static.wixstatic.com/media/daf62c_573488cda16740a185f60fbc40323650~mv2.png/v1/crop/x_0,y_0,w_600,h_151/fill/w_151,h_37,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Koffeco.png"
NUOTWO,"    NUOTWO panels create clean air, making the surrounding area a healthier and more productive place to be in.
Website","Smart active panels 
that cut your carbon footprint.",https://www.nuotwo.com/,"https://static.wixstatic.com/media/daf62c_db17d3adfec44a909413ba3b05d52e05~mv2.png/v1/crop/x_0,y_31,w_1080,h_1017/fill/w_55,h_52,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/NUOTWO.png"
MicroX Labs,"MicroX Labs gives opportunities to the fastest on-site real-time pollution detection equipment to the biggest water treatment companies.
Website","A “new” way for on-site real-time analysis
for bacteria and microplastics in water.",https://microxlabs.com/,"https://static.wixstatic.com/media/daf62c_0713014e010c4f74aa6f86b7b29b3466~mv2.jpg/v1/fill/w_106,h_21,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/daf62c_0713014e010c4f74aa6f86b7b29b3466~mv2.jpg"
HelioRec,"   Simple, powerful floating solar technology! HelioRec transforms unused water space into a home for clean energy generation.
Website","Simple, powerful
floating solar technology!
 ",https://www.heliorec.com/,"https://static.wixstatic.com/media/daf62c_cd1911817d704b64a0c2b86843b08d1b~mv2.png/v1/fill/w_118,h_32,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_cd1911817d704b64a0c2b86843b08d1b~mv2.png"
Naco Technologies,"   Naco empowers green hydrogen revolution, 
providing full spectrum from coating solutions to PVD equipment design and manufacturing.
Website","Naco empowers
green hydrogen
revolution.",https://www.naco.tech/,"https://static.wixstatic.com/media/daf62c_de505a0daabf41a39d433f955bfa12c5~mv2.png/v1/fill/w_86,h_86,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/daf62c_de505a0daabf41a39d433f955bfa12c5~mv2.png"
ExSeed,"   We develop a technology for the extraction of sunflower protein isolate.
.
Website",Sunflower protein extraction from oil production residues.,http://ex-seed.eu/,"https://static.wixstatic.com/media/080e50_cef1c3a0a5484685aa23b8c7b8be5b21~mv2.png/v1/fill/w_81,h_86,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/080e50_cef1c3a0a5484685aa23b8c7b8be5b21~mv2.png"
Cyan Reef,"   Platform offers impact investing and governance services, enabling users to manage their wealth and allocate investments in impact-generating assets in accordance with environmental, social, and corporate governance (ESG) principles.
.
Website",Platform enables ESG-focused wealth management and impact investment allocation.,http://www.cyanreef.com/,"https://static.wixstatic.com/media/080e50_950e50be80c84e25a74997c8cc09a203~mv2.png/v1/fill/w_66,h_86,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/080e50_950e50be80c84e25a74997c8cc09a203~mv2.png"
